Date,Takings,Donations,Total,Day,Week,Month,Year,CustNumbers
,NA,NA,NA,Wed,27,7,14,NA
,NA,NA,NA,Thurs,27,7,14,NA
,NA,NA,NA,Fri,28,7,14,NA
,NA,NA,NA,Sat,28,7,14,NA
,NA,NA,NA,Tues,28,7,14,NA
,NA,NA,NA,Wed,28,7,14,NA
,NA,NA,NA,Thurs,28,7,14,NA
,NA,NA,NA,Fri,28,7,14,NA
,NA,NA,NA,Sat,29,7,14,NA
,NA,NA,NA,Tues,29,7,14,NA
,NA,NA,NA,Wed,29,7,14,NA
,NA,NA,NA,Thurs,29,7,14,NA
,NA,NA,NA,Fri,29,7,14,NA
,NA,NA,NA,Sat,30,7,14,NA
,NA,NA,NA,Tues,30,7,14,NA
,NA,NA,NA,Wed,30,7,14,NA
,NA,NA,NA,Thurs,30,7,14,NA
,NA,NA,NA,Fri,30,7,14,NA
,NA,NA,NA,Sat,31,8,14,NA
,NA,NA,NA,Tues,31,8,14,NA
,NA,NA,NA,Wed,31,8,14,NA
,NA,NA,NA,Thurs,31,8,14,NA
,NA,NA,NA,Fri,31,8,14,NA
,NA,NA,NA,Sat,32,8,14,NA
,NA,NA,NA,Tues,32,8,14,NA
,NA,NA,NA,Wed,32,8,14,NA
,NA,NA,NA,Thurs,32,8,14,NA
,NA,NA,NA,Fri,32,8,14,NA
,NA,NA,NA,Sat,33,8,14,NA
,NA,NA,NA,Tues,33,8,14,NA
,NA,NA,NA,Wed,33,8,14,NA
,NA,NA,NA,Thurs,33,8,14,NA
,NA,NA,NA,Fri,33,8,14,NA
,NA,NA,NA,Sat,34,8,14,NA
,NA,NA,NA,Tues,34,8,14,NA
,NA,NA,NA,Wed,34,8,14,NA
,NA,NA,NA,Thurs,34,8,14,NA
,NA,NA,NA,Fri,34,8,14,NA
,NA,NA,NA,Sat,34,8,14,NA
,NA,NA,NA,Tues,35,9,14,NA
,NA,NA,NA,Wed,35,9,14,NA
,NA,NA,NA,Thurs,35,9,14,NA
,NA,NA,NA,Fri,35,9,14,NA
,NA,NA,NA,Sat,35,9,14,NA
,NA,NA,NA,Tues,35,9,14,NA
,NA,NA,NA,Wed,35,9,14,NA
,NA,NA,NA,Thurs,36,9,14,NA
,NA,NA,NA,Fri,36,9,14,NA
,NA,NA,NA,Sat,36,9,14,NA
,NA,NA,NA,Tues,36,9,14,NA
,NA,NA,NA,Wed,36,9,14,NA
,NA,NA,NA,Thurs,37,9,14,NA
,NA,NA,NA,Fri,37,9,14,NA
,NA,NA,NA,Sat,37,9,14,NA
,NA,NA,NA,Tues,37,9,14,NA
,NA,NA,NA,Wed,37,9,14,NA
,NA,NA,NA,Thurs,37,9,14,NA
,NA,NA,NA,Fri,38,9,14,NA
,NA,NA,NA,Sat,38,9,14,NA
,NA,NA,NA,Tues,38,9,14,NA
,NA,NA,NA,Wed,38,9,14,NA
,NA,NA,NA,Thurs,38,9,14,NA
,NA,NA,NA,Fri,39,9,14,NA
,NA,NA,NA,Sat,39,9,14,NA
,NA,NA,NA,Tues,39,9,14,NA
,NA,NA,NA,Wed,39,9,14,NA
,NA,NA,NA,Thurs,39,9,14,NA
,NA,NA,NA,Fri,40,10,14,NA
,NA,NA,NA,Sat,40,10,14,NA
,NA,NA,NA,Tues,40,10,14,NA
,NA,NA,NA,Wed,40,10,14,NA
,NA,NA,NA,Thurs,40,10,14,NA
,NA,NA,NA,Fri,41,10,14,NA
,NA,NA,NA,Sat,41,10,14,NA
,NA,NA,NA,Tues,41,10,14,NA
,NA,NA,NA,Wed,41,10,14,NA
,NA,NA,NA,Thurs,41,10,14,NA
,NA,NA,NA,Fri,42,10,14,NA
,NA,NA,NA,Sat,42,10,14,NA
,NA,NA,NA,Tues,42,10,14,NA
,NA,NA,NA,Wed,42,10,14,NA
,NA,NA,NA,Thurs,42,10,14,NA
,NA,NA,NA,Fri,42,10,14,NA
,NA,NA,NA,Sat,43,10,14,NA
,NA,NA,NA,Tues,43,10,14,NA
,NA,NA,NA,Wed,43,10,14,NA
,NA,NA,NA,Thurs,43,10,14,NA
,NA,NA,NA,Fri,43,10,14,NA
,NA,NA,NA,Sat,44,11,14,NA
,NA,NA,NA,Tues,44,11,14,NA
,NA,NA,NA,Wed,44,11,14,NA
,NA,NA,NA,Thurs,44,11,14,NA
,NA,NA,NA,Fri,44,11,14,NA
